"","Site_ID","Site_Name","Project","COUNT","d2H","d18O","OBJECTID","Dist_moved","h_ann","o_ann","fa_qs_ann","h_win","o_win","fa_qs_win","h_sum","o_sum","fa_qs_sum","elsl","el","es"
"1","NLA06608-0001","Lake Wurdeman","EPA Lakes",1,-120.2369815,-15.73392985,"269396",2,-143.489649459917,-18.4117822648673,0.00492020836099982,-157.491860892566,-20.2313977689022,0.00352659821510315,-108.056414574531,-13.807152867926,0.00139361014589667,6.17790015313345,6.19870804597194,4.32964444233593
"2","NLA06608-0002","Crane Pond","EPA Lakes",2,4.008347439,1.854044955,"52701",1,-23.0628364730644,-4.16681981560876,0.0344852209091187,-28.7602888448353,-4.95531301099092,0.0154486559331417,-18.4392022386883,-3.52693614538236,0.0190365705639124,5.13717362970099,5.08883427459187,3.53656270918489
"3","NLA06608-0003","Wilderness Lake","EPA Lakes",2,-4.765588406,-0.33477045,"403566",2,-18.772909013508,-3.52181309529991,12.0478897094727,-22.1972605702622,-4.04333027251959,3.44634866714478,-17.4008894993897,-3.31285855639213,8.60154247283936,4.75361844128074,4.50485403339703,3.14884860568802
"4","NLA06608-0004","Puett Reservoir","EPA Lakes",2,-57.73684072,-6.415816644,"418320",5,-82.0460256716899,-11.2349719646675,0.00763768469914794,-109.629616250149,-14.7407857670592,0.00340629392303526,-59.8410869979816,-8.41277207744208,0.00423139100894332,4.71637352592968,4.73388712650574,3.33178764386859
"5","NLA06608-0005","Perkins Lake","EPA Lakes",2,-127.044324,-16.19824049,"431871",0,-129.824227292328,-17.2407304443774,0.0169839635491371,-137.015406120556,-18.1950292966855,0.014161360450089,-93.7450919690756,-12.4528834186753,0.00282260309904814,5.59625713446224,5.56280611681057,3.9039726047224
"6","NLA06608-0006","Morris Reservoir","EPA Lakes",2,-44.3304322,-6.70791591,"16159",2,-54.9601054937372,-8.48513301158019,0.0126180071383715,-67.8293967899648,-10.1354142720017,0.00678981840610504,-39.9674292316381,-6.56256132180734,0.00582818826660514,5.60263786836055,5.60379951510507,3.8918251040137
"7","NLA06608-0007","Spring Lake","EPA Lakes",2,-39.93230796,-3.452523013,"186958",2,-69.9917160801719,-10.1833131998211,0.00565457344055176,-112.219494889547,-15.4891678407924,0.00167027523275465,-52.2892277718594,-7.95902269578312,0.00398429809138179,5.68363524922878,5.69548860339106,3.97265343792534
"8","NLA06608-0008","Lake Ahquabi","EPA Lakes",2,-23.08689825,-1.988923082,"195874",0,-43.7461664669513,-6.77417707093191,0.115275532007217,-75.0827099062304,-10.718619189003,0.0342301689088345,-30.5109293773219,-5.1082107829956,0.0810453593730927,5.09297768045437,5.08880694160307,3.55078035749677
"9","NLA06608-0010","Bogie Lake","EPA Lakes",2,-35.04642152,-3.25166159,"139545",1,-63.8763611384981,-9.52744117611556,0.00717527791857719,-82.9755522913113,-12.0661010654808,0.0039097024127841,-41.0099063579593,-6.48803598924334,0.00326557504013181,5.50128720189709,5.50823945362275,3.8390986938464
"10","NLA06608-0012","Cushing Lake","EPA Lakes",2,-20.6906643,-3.243920727,"353845",0,-34.1517640814596,-5.63855089508724,0.0286752805113792,-52.7922597931817,-8.00870747581982,0.00790905766189098,-27.0523133154815,-4.73584840086119,0.0207662247121334,4.92675602976409,4.93885655647912,3.43903919983668
