Site_ID,Site_Name,Latitude,Longitude,Project,COUNT,d2H,d18O
NLA06608-0001,Lake Wurdeman,48.97902855,-114.0218399,EPA Lakes,1,-120.2369815,-15.73392985
NLA06608-0002,Crane Pond,33.03606404,-79.98379054,EPA Lakes,2,4.008347439,1.854044955
NLA06608-0003,Wilderness Lake,28.04774206,-97.85986605,EPA Lakes,2,-4.765588406,-0.33477045
NLA06608-0004,Puett Reservoir,37.41662013,-108.4045832,EPA Lakes,2,-57.73684072,-6.415816644
NLA06608-0005,Perkins Lake,43.92920926,-114.8403862,EPA Lakes,2,-127.044324,-16.19824049
NLA06608-0006,Morris Reservoir,41.68314624,-73.1465177,EPA Lakes,2,-44.3304322,-6.70791591
NLA06608-0007,Spring Lake,45.58064546,-92.04001797,EPA Lakes,2,-39.93230796,-3.452523013
NLA06608-0008,Lake Ahquabi,41.29211104,-93.59040488,EPA Lakes,2,-23.08689825,-1.988923082
NLA06608-0010,Bogie Lake,42.61823014,-83.50588771,EPA Lakes,2,-35.04642152,-3.25166159
NLA06608-0012,Cushing Lake,35.99078823,-96.87178731,EPA Lakes,2,-20.6906643,-3.243920727
NLA06608-0013,Mirror Lake,39.97428032,-74.56255123,EPA Lakes,2,-34.69984004,-5.529097594
NLA06608-0014,Unnamed Lake,47.83492738,-100.5756807,EPA Lakes,2,-39.78512448,-2.727732904
NLA06608-0015,Caballo Reservoir,33.0071076,-107.2747938,EPA Lakes,2,-71.77970337,-8.844361215
NLA06608-0016,Lake Maloney,41.03025217,-100.7797567,EPA Lakes,2,-73.68196176,-8.259633765
NLA06608-0019,Doyles Lake,46.36688788,-99.51185877,EPA Lakes,2,-40.13151169,-4.127680163
NLA06608-0020,Mill Creek Lake,39.40817838,-87.81380832,EPA Lakes,2,-41.33852147,-5.437562409
NLA06608-0021,Canandaigua Lake,42.77191973,-77.3095481,EPA Lakes,2,-58.24434477,-7.557910136
NLA06608-0023,Birdbath Lake,31.14849172,-97.745332,EPA Lakes,2,-10.2677679,-1.841495944
NLA06608-0024,Lake Palestine,32.1220497,-95.48843409,EPA Lakes,2,-11.95399369,-2.136186183
NLA06608-0025,Kings Mountian #1 Lake,35.20132137,-81.34573084,EPA Lakes,2,-18.70755881,-2.651522169
NLA06608-0029,Red Mill Pond,38.75601051,-75.21503793,EPA Lakes,2,-25.81023782,-3.533270215
NLA06608-0031,Caldwell Lake,39.77645357,-81.51745185,EPA Lakes,2,-31.25819109,-4.770820229
NLA06608-0033,Swamp,47.31108363,-121.2990598,EPA Lakes,2,-76.93035939,-9.459110256
NLA06608-0036,Whoople Cat Lake,37.47735404,-88.32737922,EPA Lakes,2,-23.31797885,-3.056509775
NLA06608-0037,Lake Waramaug,41.69699293,-73.36398551,EPA Lakes,2,-44.75304687,-6.549971942
NLA06608-0038,Island Pond,44.79759122,-71.86971736,EPA Lakes,2,-74.82983988,-9.940955156
NLA06608-0041,Summersville Lake,38.22694093,-80.85405519,EPA Lakes,2,-49.14917772,-7.939827558
NLA06608-0042,Willow Park Reservoir,44.45823517,-107.0403753,EPA Lakes,2,-130.8576391,-17.18472292
NLA06608-0043,Messick Lake,41.553395,-85.44424168,EPA Lakes,2,-40.28987944,-5.24183694
NLA06608-0044,Steverson Lake,42.4048448,-101.7024805,EPA Lakes,2,-42.36772982,-3.739577857
NLA06608-0045,Beaver Pond,37.29320486,-77.88986113,EPA Lakes,2,-28.96264091,-4.438838101
NLA06608-0048,Nolen Blue Hole,36.7872968,-89.17572548,EPA Lakes,2,1.759727535,2.114163944
NLA06608-0049,Clear Creek Reservoir,45.06232667,-117.1533553,EPA Lakes,1,-114.8075963,-15.36487562
NLA06608-0050,Adder Pond,43.44601793,-71.80868659,EPA Lakes,2,-52.59544501,-6.938898602
NLA06608-0053,South Bay Lake Champlain,43.55819295,-73.43960723,EPA Lakes,2,-58.06161374,-7.756233429
NLA06608-0057,Lake Lee,34.96189211,-80.51686138,EPA Lakes,2,-14.39477819,-1.68362139
NLA06608-0061,Alamo,34.24558153,-113.5793644,EPA Lakes,2,-42.91113127,-3.910336076
NLA06608-0062,(Unnamed Lake),47.32067994,-99.74629427,EPA Lakes,2,-36.14073696,-2.980992446
NLA06608-0064,Fitzpatrick Lake,48.8940613,-112.1680165,EPA Lakes,2,-76.21498469,-6.106959334
NLA06608-0065,Sophie Lake,48.96243381,-115.116608,EPA Lakes,2,-122.0738472,-15.64489861
NLA06608-0066,Youghiogheny River Lake,39.76851425,-79.38081778,EPA Lakes,2,-54.00850315,-8.116051659
